name,url,real_name,occupation,gender,height,weight,number_of_appearances,first_apperance_year,universe,place_of_birth,movie_appearances
Carl Burbank,/wiki/Carl_Burbank_(Earth-58732),Carl Burbank,Covert operative,Male,,,1,2004.0,Earth-58732,,
Carl Creel,/wiki/Carl_Creel_(Earth-199999),Carl Creel,Hydra assassin; former boxer,Male,,,4,2014.0,Earth-199999,,
Carl Creel,/wiki/Carl_Creel_(Earth-8096),Carl Creel,Criminal,Male,,,8,2010.0,Earth-8096,,
Carl Hoffman,/wiki/Carl_Hoffman_(Earth-199999),Carl Hoffman,Detective,Male,,,5,2015.0,Earth-199999,,
Carla Talbot,/wiki/Carla_Talbot_(Earth-199999),Carla Talbot,,Female,,,3,2014.0,Earth-199999,,
Carlo Mancini,/wiki/Carlo_Mancini_(Earth-199999),Carlo Mancini,,Male,,,1,2014.0,Earth-199999,,
Carlos Cruz,/wiki/Carlos_Cruz_(Earth-TRN011),Carlos Cruz,Mercenary,Male,,,1,2008.0,Earth-TRN011,,1.0
Carmine Gazzera,/wiki/Carmine_Gazzera_(Earth-TRN011),Carmine Gazzera,Criminal,Male,,,1,2008.0,Earth-TRN011,,1.0
Carol Danvers,/wiki/Carol_Danvers_(Earth-8096),Carol Danvers,"Adventurer, Military Officer",Female,1.8034,61.23492,21,2010.0,Earth-8096,,
Carol Frost,/wiki/Carol_Frost_(Earth-10005),Carol Frost,Scientist,Female,,,2,2009.0,Earth-10005,,1.0
Carol Hines,/wiki/Carol_Hines_(Earth-8096),Carol Hines,,Female,,,1,,Earth-8096,,
Carter Kounen,/wiki/Carter_Kounen_(Earth-26320),Carter Kounen,Lawyer / Familiar,Male,,,1,2002.0,Earth-26320,,
Cash Register Thief,/wiki/Cash_Register_Thief_(Earth-120703),,Criminal,Male,,,1,2012.0,Earth-120703,United States of America,1.0
Cassandra Lang,/wiki/Cassandra_Lang_(Earth-199999),Cassandra Lang,,Female,,,1,2015.0,Earth-199999,,1.0
Cassandra Lang,/wiki/Cassandra_Lang_(Earth-8096),Cassandra Lang,,Female,,,1,2012.0,Earth-8096,,
Cecilia Reyes,/wiki/Cecilia_Reyes_(Earth-10005),Cecilia Reyes,,Female,,,1,,Earth-10005,,1.0
Cessily Kincaid,/wiki/Cessily_Kincaid_(Earth-8096),Cessily Kincaid,Enforcer,Female,,,3,,Earth-8096,,
Chad Davis,/wiki/Chad_Davis_(Earth-199999),Chad Davis,Soldier,Male,1.9304,88.45044,1,2013.0,Earth-199999,,1.0
Chan Ho Yin,/wiki/Chan_Ho_Yin_(Earth-199999),Chan Ho Yin,"Test subject, Street Magician",Male,,,2,2013.0,Earth-199999,,
Charles Chandler,/wiki/Charles_Chandler_(Earth-8096),Charles Chandler,,Male,,,1,2012.0,Earth-8096,,
Charles Hinton,/wiki/Charles_Hinton_(Earth-199999),Charles Hinton,Homeless,Male,,,1,2016.0,Earth-199999,,
Charles Spencer,/wiki/Charles_Spencer_(Earth-199999),Charles Spencer,Student,Male,,,1,2016.0,Earth-199999,,
Charles Xavier,/wiki/Charles_Xavier_(Earth-10005),"Charles Francis Xavier  (P. Xavier, due to mind-transfer)",Headmaster,Male,1.778,,16,2000.0,Earth-10005,New York,6.0
Charles Xavier,/wiki/Charles_Xavier_(Earth-8096),Charles Xavier,Teacher,Male,,,8,2009.0,Earth-8096,,
Charles Xavier,/wiki/Charles_Xavier_(Earth-TRN414),Charles Francis Xavier,Headmaster,Male,1.778,,3,2014.0,Earth-TRN414,New York,4.0
Chen,/wiki/Chen_(Earth-199999),Chen (full name unknown),Gangster,Male,,,3,2016.0,Earth-199999,,
Chen Lu,/wiki/Chen_Lu_(Earth-8096),Chen Lu,,Male,,,4,2010.0,Earth-8096,,
Chess Roberts,/wiki/Chess_Roberts_(Earth-199999),Chess Roberts,Reporter,Female,,,1,2010.0,Earth-199999,,1.0
Chester Phillips,/wiki/Chester_Phillips_(Earth-8096),Chester Phillips,General,Male,,,1,,Earth-8096,,
Chester Phillips,/wiki/Chester_Phillips_(Earth-199999),Chester Phillips,"Colonel in the U.S. Army,",Male,,,5,2011.0,Earth-199999,United States of America,
Chodak,/wiki/Chodak_(Earth-199999),Chodak,Warrior monk,Male,,,1,2017.0,Earth-199999,,
Christian Blake,/wiki/Christian_Blake_(Earth-199999),Christian Blake,Police detective,Male,,,4,2015.0,Earth-199999,,
Christian Ward,/wiki/Christian_Ward_(Earth-199999),Christian Ward,Politician (State Senator),Male,,,7,2013.0,Earth-199999,,
Christine Everhart,/wiki/Christine_Everhart_(Earth-199999),Christine Everhart,"Reporter, WHIH: NEWSFRONT Host",Female,,,14,2008.0,Earth-199999,,2.0
Christine Palmer,/wiki/Christine_Palmer_(Earth-199999),Christine Palmer,Surgeon,Female,,,4,2016.0,Earth-199999,,1.0
Christoph Nord,/wiki/Christoph_Nord_(Earth-8096),Christoph Nord,Weapon X agent,Male,,,2,2009.0,Earth-8096,,
Christopher Bradley,/wiki/Christopher_Bradley_(Earth-10005),Christopher Bradley,"Carnival side show operator, formerly member of Stryker's strike force",Male,1.7018,,1,2009.0,Earth-10005,,1.0
Christopher Summers,/wiki/Christopher_Summers_(Earth-TRN414),Christopher Summers,,Male,,,1,2016.0,Earth-TRN414,,
Chupa,/wiki/Chupa_(Earth-26320),,"Soldier, Assassin",Male,,,2,,Earth-26320,,
Claire Temple,/wiki/Claire_Temple_(Earth-199999),Claire Temple,Unemployed; former nurse,Female,,,24,2015.0,Earth-199999,,
Claire Wise,/wiki/Claire_Wise_(Earth-199999),Claire Wise,Former bank robber,Female,,,1,2012.0,Earth-199999,,
Clarice Ferguson,/wiki/Clarice_Ferguson_(Earth-10005),Clarice Ferguson,"Refugee, resistance fighter",Female,,,1,2014.0,Earth-10005,,1.0
Clarice Ferguson,/wiki/Clarice_Ferguson_(Earth-8096),Clarice Ferguson,,Female,,,3,2009.0,Earth-8096,,
Claudette St. Croix,/wiki/Claudette_St._Croix_(Earth-10005),Claudette St. Croix,,Female,,,1,,Earth-10005,,1.0
Claudette and Nicole St. Croix,/wiki/Claudette_and_Nicole_St._Croix_(Earth-8096),Claudette and Nicole St. Croix,,Female,,,1,2009.0,Earth-8096,,
Clay Quartermain,/wiki/Clay_Quartermain_(Earth-8096),Clay Quartermain,S.H.I.E.L.D. Agent,Male,,,9,2010.0,Earth-8096,,
Clea Lake,/wiki/Clea_Lake_(Earth-96173),Clea Lake,University student,Female,,,1,1978.0,Earth-96173,,1.0
Cletus Kasady,/wiki/Cletus_Kasady_(Earth-120703),Cletus Kasady,Serial killer,Male,,,1,,Earth-120703,,
Clinton Barton,/wiki/Clinton_Barton_(Earth-199999),Clinton Barton,"Fugitive; former adventurer,  S.H.I.E.L.D.  agent",Male,1.778,,20,2011.0,Earth-199999,United States of America,1.0
Clinton Barton,/wiki/Clinton_Barton_(Earth-8096),Clinton Barton,"Special agent, adventurer",Male,,,48,2010.0,Earth-8096,,
Clyde Farnum,/wiki/Clyde_Farnum_(Earth-199999),Clyde Farnum,Police officer,Male,,,1,2015.0,Earth-199999,,
Colleen O'Brien,/wiki/Colleen_O'Brien_(Earth-199999),Colleen Deidre O'Brien,Factory worker,Female,,,1,2015.0,Earth-199999,,
Colleen Wing,/wiki/Colleen_Wing_(Earth-199999),Colleen Wing,,Female,,,13,2017.0,Earth-199999,,
Colonel Moss,/wiki/Colonel_Moss_(Earth-8096),Moss (given name unrevealed),Soldier,Male,,,3,2009.0,Earth-8096,,
Colonel Sanders,/wiki/Colonel_Sanders_(Earth-TRN414),Sanders (first name is unknown),Colonel,Male,,,1,2014.0,Earth-TRN414,,
Comanche,/wiki/Comanche_(Earth-199999),,,Male,,,2,2016.0,Earth-199999,,
Connie,/wiki/Connie_(Earth-199999),Connie (full name unknown),,Female,,,1,2011.0,Earth-199999,,
Cooper Barton,/wiki/Cooper_Barton_(Earth-199999),Cooper Barton,,Male,,,1,2015.0,Earth-199999,,
Cornelius van Lunt,/wiki/Cornelius_van_Lunt_(Earth-199999),Cornelius van Lunt,,Male,,,1,2015.0,Earth-199999,,
Cornell Stokes,/wiki/Cornell_Stokes_(Earth-199999),Cornell Stokes,,Male,,,7,2016.0,Earth-199999,,
Cosmo,/wiki/Cosmo_(Earth-199999),Cosmo,,Male,,,2,2014.0,Earth-199999,,1.0
Councilman Rockwell,/wiki/Councilman_Rockwell_(Earth-199999),Rockwell (first name unknown),Bureaucrat; Councilman of the  World Security Council,Male,,,3,2014.0,Earth-199999,,
Councilman Yen,/wiki/Councilman_Yen_(Earth-199999),Yen (full name unknown),Bureaucrat; Councilman of the  World Security Council,Male,,,4,2014.0,Earth-199999,,
Councilwoman Hawley,/wiki/Councilwoman_Hawley_(Earth-199999),Hawley (first name unknown),Councilwoman of the  World Security Council,Female,,,5,2012.0,Earth-199999,,
Crease,/wiki/Crease_(Earth-26320),Crease,Vampire,Male,,,1,,Earth-26320,,
Cristu Bulat,/wiki/Cristu_Bulat_(Earth-TRN011),Cristu Bulat,Crimelord,Male,,,1,2008.0,Earth-TRN011,,1.0
Curtis Carr,/wiki/Curtis_Carr_(Earth-8096),Curtis Carr,,Male,,,3,2010.0,Earth-8096,,
Curtis Connors,/wiki/Curtis_Connors_(Earth-120703),Curtis Connors,Oscorp scientist,Male,,,3,2012.0,Earth-120703,,2.0
Curtis Connors,/wiki/Curtis_Connors_(Earth-96283),Curtis Connors,Physicist,Male,,,6,2004.0,Earth-96283,,3.0
Curtis Webb,/wiki/Curtis_Webb_(Earth-26320),Curtis Webb,Predator; former medical doctor,Male,,,1,1998.0,Earth-26320,,1.0
Daisy Johnson,/wiki/Daisy_Johnson_(Earth-8096),Daisy Johnson,Special agent,Female,,,4,2012.0,Earth-8096,,
Daisy Johnson,/wiki/Daisy_Johnson_(Earth-199999),Daisy Johnson,S.H.I.E.L.D.  agent; former hacktivist with Rising Tide,Female,1.651,,90,2013.0,Earth-199999,China,
Dale Rice,/wiki/Dale_Rice_(Earth-TRN414),Dale Rice,Former scientist at  Weapon X,Male,,,1,2017.0,Earth-TRN414,,1.0
Dan Monroe,/wiki/Dan_Monroe_(Earth-199999),Dan Monroe,S.H.I.E.L.D. agent,Male,,,1,2014.0,Earth-199999,,
Dane Whitman,/wiki/Dane_Whitman_(Earth-8096),Dane Whitman,,Male,,,1,2011.0,Earth-8096,,
Danica Talos,/wiki/Danica_Talos_(Earth-26320),Danica Talos,Vampire,Female,,,1,2004.0,Earth-26320,,
Daniel Drumm,/wiki/Daniel_Drumm_(Earth-199999),Daniel Drumm,Master of the Mystic Arts,Male,,,4,2016.0,Earth-199999,,1.0
Daniel Fisher,/wiki/Daniel_Fisher_(Earth-199999),Daniel Fisher,,Male,,,1,2015.0,Earth-199999,,
Daniel Rand,/wiki/Daniel_Rand_(Earth-199999),Daniel Rand,"Businessman, adventurer",Male,,,13,2017.0,Earth-199999,,
Daniel Rand,/wiki/Daniel_Rand_(Earth-8096),"Daniel ""Danny"" Rand","Adventurer, mercenary",Male,,,4,2012.0,Earth-8096,,
Daniel Sousa,/wiki/Daniel_Sousa_(Earth-199999),Daniel Sousa,SSR agent,Male,,,19,2015.0,Earth-199999,,
Danielle Moonstar,/wiki/Danielle_Moonstar_(Earth-10005),Danielle Moonstar,,Female,,,1,,Earth-10005,,1.0
Daniels,/wiki/Daniels_(Earth-TRN414),Daniels  (first name unknown),Former soldier,Male,,,1,2014.0,Earth-TRN414,,1.0
Darcy Lewis,/wiki/Darcy_Lewis_(Earth-199999),Darcy Lewis,Student,Female,,,7,2011.0,Earth-199999,,1.0
Darren Cross,/wiki/Darren_Cross_(Earth-199999),Darren Cross,CEO of  Cross Technological Enterprises,Male,,,2,2015.0,Earth-199999,United States of America,1.0
Dave,/wiki/Dave_(Earth-199999),Dave (surname unknown),Criminal,Male,,,1,2015.0,Earth-199999,,1.0
David Angar,/wiki/David_Angar_(Earth-199999),David Alan Angar,,Male,,,2,2015.0,Earth-199999,,
David Cannon,/wiki/David_Cannon_(Earth-8096),David Cannon,Criminal,Male,,,4,2010.0,Earth-8096,,
David Cunningham,/wiki/David_Cunningham_(Earth-TRN414),David Cunningham,,Male,,,1,2016.0,Earth-TRN414,,1.0
David Griffith,/wiki/David_Griffith_(Earth-199999),Dave Griffith,,Male,,,4,2016.0,Earth-199999,,
David Kurata,/wiki/David_Kurata_(Earth-199999),David Kurata,"Former teacher, transplant surgeon",Male,,,1,2015.0,Earth-199999,,
David Lieberman,/wiki/David_Lieberman_(Earth-199999),David Lieberman,,,,,1,2014.0,Earth-199999,,
David North,/wiki/David_North_(Earth-10005),David North,Mercenary,Male,1.8796,,2,2009.0,Earth-10005,,2.0
Davis,/wiki/Davis_(Earth-199999),Davis (full name unknown),,Male,,,1,2015.0,Earth-199999,,
Davos,/wiki/Davos_(Earth-199999),Davos,Warrior monk,Male,,,5,2017.0,Earth-199999,,
Deacon Frost,/wiki/Deacon_Frost_(Earth-26320),Deacon Frost,,Male,,,2,1998.0,Earth-26320,,1.0
Debbie McIlvane,/wiki/Debbie_McIlvane_(Earth-121698),Debbie McIlvane [1],,Female,,,1,2005.0,Earth-121698,,1.0
Dennis Carradine,/wiki/Dennis_Carradine_(Earth-96283),Dennis Carradine,,Male,1.7526,74.84268,4,2002.0,Earth-96283,America,2.0
Desmond Tobey,/wiki/Desmond_Tobey_(Earth-199999),Desmond Tobey,Divorce lawyer,Male,,,1,2015.0,Earth-199999,,
Dieter Reinhardt,/wiki/Dieter_Reinhardt_(Earth-26320),Dieter Reinhardt,"Soldier, Assassin",Male,,,2,,Earth-26320,,
Dino Manelli,/wiki/Dino_Manelli_(Earth-8096),Dino Manelli,,Male,,,2,2010.0,Earth-8096,,
Dirk Garthwaite,/wiki/Dirk_Garthwaite_(Earth-8096),Dirk Garthwaite,Criminal,Male,,,5,,Earth-8096,,
Doctor Debbie,/wiki/Doctor_Debbie_(Earth-199999),Debbie (last name unknown),Scientist for Project Centipede,Female,,,2,2013.0,Earth-199999,,
Doctor Goodman,/wiki/Doctor_Goodman_(Earth-199999),Goodman (first name unknown),,Female,,,2,2014.0,Earth-199999,,
Doctor Grant,/wiki/Doctor_Grant_(Earth-26320),Grant (full name unknown),,Female,,,1,2002.0,Earth-26320,,
Doctor Isaacs,/wiki/Doctor_Isaacs_(Earth-96283),Isaacs,Surgeon,Male,,,1,2004.0,Earth-96283,,
Doctor Jazuat,/wiki/Doctor_Jazuat_(Earth-199999),Jazuat (full name unknown),Doctor,Female,,,1,2014.0,Earth-199999,,
Doctor Jensen,/wiki/Doctor_Jensen_(Earth-199999),Jensen (first name unrevealed),Hydra  scientist,Female,,,1,2015.0,Earth-199999,,
Doctor List,/wiki/Doctor_List_(Earth-199999),List (full name unknown),Scientist,Male,,,7,2014.0,Earth-199999,,
Doctor Moon,/wiki/Doctor_Moon_(Earth-730911),Moon (first name unknown),"Former University professor, scientist",Male,,,1,1978.0,Earth-730911,,
Doctor Shaw,/wiki/Doctor_Shaw_(Earth-10005),Shaw (first name unknown),Doctor,Male,,,1,2003.0,Earth-10005,,1.0
Doctor Stillwell,/wiki/Doctor_Stillwell_(Earth-96283),Stillwell  (full name unrevealed),Scientist,Female,,,1,2007.0,Earth-96283,,
Doctor Streiten,/wiki/Doctor_Streiten_(Earth-199999),Streiten (first name unknown),S.H.I.E.L.D. Doctor,Male,,,3,2013.0,Earth-199999,,
Doctor Wu,/wiki/Doctor_Wu_(Earth-199999),Wu (full name unrevealed),Surgeon,Male,,,1,2013.0,Earth-199999,,1.0
Domingo Colon,/wiki/Domingo_Colon_(Earth-199999),Domingo Colon,,Male,,,6,2016.0,Earth-199999,,
Dominikos Petrakis,/wiki/Dominikos_Petrakis_(Earth-8096),Dominikos Ioannis Petrakis,Terrorist,Male,,,2,2009.0,Earth-8096,,
Don Rigoletto,/wiki/Don_Rigoletto_(Earth-199999),Don Rigoletto,Crimelord,Male,,,1,2015.0,Earth-199999,,
Donald Blake,/wiki/Donald_Blake_(Earth-199999),Donald J. Blake,Physician,Male,1.905,,1,2011.0,Earth-199999,,1.0
Donald Gill,/wiki/Donald_Gill_(Earth-199999),Donald Gill,"Brainwashed Hydra agent, former S.H.I.E.L.D. student",Male,,,4,2014.0,Earth-199999,,
Donald Gill,/wiki/Donald_Gill_(Earth-8096),Donald Gill,,Male,,,3,2010.0,Earth-8096,,
Donald Menken,/wiki/Donald_Menken_(Earth-120703),Donald Menken,,Male,,,1,2014.0,Earth-120703,,1.0
Donald Pierce,/wiki/Donald_Pierce_(Earth-8096),Donald Pierce,Member of Hellfire Club,Male,,,4,2009.0,Earth-8096,,
Donald Pierce,/wiki/Donald_Pierce_(Earth-TRN414),Donald Pierce,,Male,,,1,2017.0,Earth-TRN414,,1.0
Dontrell Hamilton,/wiki/Dontrell_Hamilton_(Earth-8096),Dontrell Hamilton,,Male,,,1,2012.0,Earth-8096,,
Dopinder,/wiki/Dopinder_(Earth-TRN414),Dopinder,Taxi driver,Male,,,1,2016.0,Earth-TRN414,,1.0
Doris Urich,/wiki/Doris_Urich_(Earth-199999),Doris Urich,,Female,,,4,2015.0,Earth-199999,,
Dormammu,/wiki/Dormammu_(Earth-199999),Dormammu,"Interdimensional conqueror, ruler of the  Dark Dimension",Male,,,2,2016.0,Earth-199999,,1.0
Dorothy Underwood,/wiki/Dorothy_Underwood_(Earth-199999),,Leviathan assassin,Female,,,11,2015.0,Earth-199999,Russia,
Dorothy Walker,/wiki/Dorothy_Walker_(Earth-199999),Dorothy Walker,Talent Agent,Female,1.651,,3,2015.0,Earth-199999,,
Doughboy,/wiki/Doughboy_(Earth-8096),,,Agender,,,3,2010.0,Earth-8096,,
Douglas Ramsey,/wiki/Douglas_Ramsey_(Earth-10005),Douglas Ramsey,Student,Male,,,1,2003.0,Earth-10005,,1.0
Dracula,/wiki/Dracula_(Earth-26320),Dagon,"Progenitor of ""Hominus Nocturna"".",Male,,,1,2004.0,Earth-26320,Babylon,
Dragon Man,/wiki/Dragon_Man_(Earth-121698),Dragon Man,Mercenary,Male,,,1,2005.0,Earth-121698,,
Dragonetti,/wiki/Dragonetti_(Earth-26320),Dragonetti,,Male,,,1,2000.0,Earth-26320,,
Drax,/wiki/Drax_(Earth-199999),Drax,,Male,,,3,2014.0,Earth-199999,,2.0
Duhg,/wiki/Duhg_(Earth-199999),Duhg,Marauder,Male,,,1,2013.0,Earth-199999,,
Duranna,/wiki/Duranna_(Earth-199999),Duranna,,Female,,,1,2014.0,Earth-199999,Xandar,1.0
Dwight Frye,/wiki/Dwight_Frye_(Earth-199999),Dwight Frye,Programmer for the  Social Security Administration,Male,1.8034,,1,2015.0,Earth-199999,Cedar Rapids,
Eden Fesi,/wiki/Eden_Fesi_(Earth-199999),Eden Fesi,,Male,,,1,2016.0,Earth-199999,,
Edie Lehnsherr,/wiki/Edie_Lehnsherr_(Earth-10005),Edie Lehnsherr,,Female,,,3,2000.0,Earth-10005,,2.0
Edison Po,/wiki/Edison_Po_(Earth-199999),Edison Po,Former marine,Male,,,3,2013.0,Earth-199999,,
Edward Brock,/wiki/Edward_Brock_(Earth-120703),Edward Brock,Photographer and Reporter,Male,,,1,,Earth-120703,,
"Edward Brock, Jr.","/wiki/Edward_Brock,_Jr._(Earth-96283)","Edward Brock, Jr.",Former Daily Bugle journalist,Male,,,4,2007.0,Earth-96283,New York City,3.0
Edward Byron,/wiki/Edward_Byron_(Earth-730911),Eward Byron,"Terrorist, guru",Male,,,1,1977.0,Earth-730911,,1.0
Edward Gnucci,/wiki/Edward_Gnucci_(Earth-58732),Edward Gnucci,Crimelord,Male,,,1,2004.0,Earth-58732,,
Edward Leeds,/wiki/Edward_Leeds_(Earth-120703),Edward Leeds,Reporter,Male,,,1,,Earth-120703,,
Edwin Jarvis,/wiki/Edwin_Jarvis_(Earth-199999),Edwin Jarvis,Butler,Male,,,22,2010.0,Earth-199999,,
Eir,/wiki/Eir_(Earth-199999),Eir,Physician,Female,,,1,2013.0,Earth-199999,,
Eitri,/wiki/Eitri_(Earth-8096),Eitri,Master blacksmith,Male,,,3,2011.0,Earth-8096,Nidavellir,
Eitri,/wiki/Eitri_(Earth-199999),Eitri,King of the  Dwarves  of  Nidavellir,Male,,,1,2013.0,Earth-199999,,
Elaine Grey,/wiki/Elaine_Grey_(Earth-10005),Elaine Grey,,Female,,,1,2006.0,Earth-10005,,
Elektra Natchios,/wiki/Elektra_Natchios_(Earth-199999),Elektra Natchios,,Female,,,10,2016.0,Earth-199999,,
Elektra Natchios,/wiki/Elektra_Natchios_(Earth-701306),Elektra Natchios,Professional assassin,Female,,,6,2003.0,Earth-701306,Greece,2.0
Elena Cardenas,/wiki/Elena_Cardenas_(Earth-199999),Elena Cardenas,,Female,,,4,2015.0,Earth-199999,,
Elena Rodriguez,/wiki/Elena_Rodriguez_(Earth-199999),Elena Rodriguez,"Museum clerk, S.H.I.E.L.D. agent",Female,,,17,2016.0,Earth-199999,,
Eli Damaskinos,/wiki/Eli_Damaskinos_(Earth-26320),Eli Damaskinos,Vampire overlord,Male,,,1,2002.0,Earth-26320,,
Elias Morrow,/wiki/Elias_Morrow_(Earth-199999),Elias Morrow,Former electrical engineer,Male,,,7,2016.0,Earth-199999,,
Elijah Fordham,/wiki/Elijah_Fordham_(Earth-199999),Elijah Fordham,,Male,,,1,2014.0,Earth-199999,,
Elizabeth Braddock,/wiki/Elizabeth_Braddock_(Earth-TRN414),Elizabeth Braddock,,Female,,,1,2016.0,Earth-TRN414,,
Elizabeth Braddock,/wiki/Elizabeth_Braddock_(Earth-8096),Elizabeth Braddock,,Female,,,1,2009.0,Earth-8096,,
Elizabeth Braddock,/wiki/Elizabeth_Braddock_(Earth-10005),Elizabeth Braddock,,,,,1,,Earth-10005,,1.0
Elizabeth Brant,/wiki/Elizabeth_Brant_(Earth-8096),Betty Brant,Daily Bugle reporter,Female,,,1,2012.0,Earth-8096,,
Elizabeth Brant,/wiki/Elizabeth_Brant_(Earth-96283),"Elizabeth ""Betty"" Brant",Daily Bugle Secretary,Female,,,8,2002.0,Earth-96283,,3.0
Elizabeth Howlett,/wiki/Elizabeth_Howlett_(Earth-10005),Elizabeth Howlett,,Female,,,1,2009.0,Earth-10005,,1.0
Elizabeth Ross,/wiki/Elizabeth_Ross_(Earth-199999),"Elizabeth ""Betty"" Ross","Cellular biologist, research scientist, professor",Female,,,5,2008.0,Earth-199999,,1.0
Elizabeth Ross,/wiki/Elizabeth_Ross_(Earth-8096),Elizabeth Ross,,,,,1,2009.0,Earth-8096,,1.0
Ellen Brandt,/wiki/Ellen_Brandt_(Earth-199999),Ellen Brandt,"A.I.M. agent, Extremis soldier",Female,,,2,2013.0,Earth-199999,,1.0
Ellen Nadeer,/wiki/Ellen_Nadeer_(Earth-199999),Ellen Nadeer,Senator,Female,,,5,2016.0,Earth-199999,,
Ellie Phimister,/wiki/Ellie_Phimister_(Earth-TRN414),,X-Men  trainee,Female,,,1,2016.0,Earth-TRN414,,1.0
Elliot Grote,/wiki/Elliot_Grote_(Earth-199999),Elliot Grote [1],Criminal,Male,,,3,2016.0,Earth-199999,,
Elliot Randolph,/wiki/Elliot_Randolph_(Earth-199999),,"Professor of Norse Mythology, formerly warrior, formerly mason",Male,,,3,2013.0,Earth-199999,Asgard,
Elloe Kaifi,/wiki/Elloe_Kaifi_(Earth-10022),Elloe Kaifi,Gladiator,Female,,,1,2010.0,Earth-10022,Sakaar,1.0
Emil Blonsky,/wiki/Emil_Blonsky_(Earth-199999),Emil Blonsky,Former Captain in the British Royal Marines,Male,1.7018,,7,2008.0,Earth-199999,Russia,1.0
Emil Blonsky,/wiki/Emil_Blonsky_(Earth-8096),Emil Blonsky,Professional criminal,Male,5.08,0.907184,12,2010.0,Earth-8096,,
Emily Chan,/wiki/Emily_Chan_(Earth-730911),Emily Chan,,Female,1.6764,,1,1979.0,Earth-730911,,
Emma Frost,/wiki/Emma_Frost_(Earth-10005),Emma Frost,,Female,,,2,2011.0,Earth-10005,,2.0
Emma Frost,/wiki/Emma_Frost_(Earth-700029),Emma Frost,Teacher,Female,,,1,1996.0,Earth-700029,,1.0
Emma Frost,/wiki/Emma_Frost_(Earth-8096),Emma Frost,X-Man,Female,1.778,55.791816,16,2009.0,Earth-8096,,
Emma Marko,/wiki/Emma_Marko_(Earth-96283),Emma Marko,,Female,,,1,2007.0,Earth-96283,,1.0
Emma Silverfox,/wiki/Emma_Silverfox_(Earth-10005),Emma Silverfox,,Female,,,1,2009.0,Earth-10005,,1.0
En Dwi Gast,/wiki/En_Dwi_Gast_(Earth-8096),En Dwi Gast,Gamesman,Male,2.159,108.86208,2,2011.0,Earth-8096,,
En Dwi Gast,/wiki/En_Dwi_Gast_(Earth-10022),En Dwi Gast,Gamesman,Male,,,1,2010.0,Earth-10022,,1.0
En Sabah Nur,/wiki/En_Sabah_Nur_(Earth-10005),En Sabah Nur,Pharaoh,Male,,,1,2014.0,Earth-10005,,1.0
En Sabah Nur,/wiki/En_Sabah_Nur_(Earth-8096),En Sabah Nur,Conqueror,Male,,,1,2009.0,Earth-8096,,
En Sabah Nur,/wiki/En_Sabah_Nur_(Earth-TRN414),En Sabah Nur,Conqueror,Male,,,1,2016.0,Earth-TRN414,Egypt,
Eric Brooks,/wiki/Eric_Brooks_(Earth-26320),Eric Brooks,Vampire hunter,Male,1.7272,79.3786,22,1998.0,Earth-26320,Detroit,1.0
Eric Fraser,/wiki/Eric_Fraser_(Earth-58460),Eric Fraser,Deputy sheriff,Male,,,3,2004.0,Earth-58460,,1.0
Eric Gitter,/wiki/Eric_Gitter_(Earth-10005),Eric Gitter,Former soldier,Male,,,1,2014.0,Earth-10005,,1.0
Eric Gitter,/wiki/Eric_Gitter_(Earth-TRN414),Eric Gitter,Former soldier,Male,,,1,2014.0,Earth-TRN414,,1.0
Eric Koenig,/wiki/Eric_Koenig_(Earth-199999),Eric Koenig,S.H.I.E.L.D. agent,Male,,,4,2014.0,Earth-199999,,
Eric O'Grady,/wiki/Eric_O'Grady_(Earth-8096),Eric O'Grady,S.H.I.E.L.D. agent,Male,,,1,2012.0,Earth-8096,,
Eric Savin,/wiki/Eric_Savin_(Earth-199999),Eric Savin,Criminal,Male,,,4,2013.0,Earth-199999,,1.0
Eric Williams,/wiki/Eric_Williams_(Earth-8096),Eric Williams,Hydra Agent,Male,,,9,2010.0,Earth-8096,,
Erik Lehnsherr,/wiki/Erik_Lehnsherr_(Earth-10005),Erik Lehnsherr,"Former terrorist, former prisoner, government agent, adventurer",Male,1.8288,,15,2000.0,Earth-10005,,4.0
Erik Lehnsherr,/wiki/Erik_Lehnsherr_(Earth-8096),Erik Lehnsherr,Leader,Male,1.8796,86.18248,14,2009.0,Earth-8096,,
Erik Lehnsherr,/wiki/Erik_Lehnsherr_(Earth-TRN414),Erik Lehnsherr,"Terrorist, former prisoner, government agent",Male,1.8288,,2,2014.0,Earth-TRN414,,1.0
Erik Selvig,/wiki/Erik_Selvig_(Earth-199999),Erik Selvig,Astrophysicist,Male,,,12,2011.0,Earth-199999,Sweden,1.0
Ernst Mueller,/wiki/Ernst_Mueller_(Earth-199999),Ernst Mueller,Colonel,Male,,,1,2015.0,Earth-199999,,
Eson,/wiki/Eson_(Earth-199999),Eson,,Male,,,1,2014.0,Earth-199999,,1.0
Espinoza,/wiki/Espinoza_(Earth-199999),,Dealer; head of a South American cartel,Male,,,1,,Earth-199999,,
Esteban Corazón de Ablo,/wiki/Esteban_Corazón_de_Ablo_(Earth-121698),Esteban Corazón De Ablo,Alchemist Magician,Male,,,1,2005.0,Earth-121698,,
Estella Espinosa,/wiki/Estella_Espinosa_(Earth-700029),Estella Espinosa,Student,Female,,,1,1996.0,Earth-700029,,1.0
